record_key,os,chipset,cpu,gpu
2c9a505dcc38a2e4dc6e9af4baf8ba2df40c4722e2b0b2d7373ac89cfbeffee6,"Android 13, HIOS 13",Mediatek Helio G99 (6 nm),Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2
05e6d0d1fc7c6c845029d2a6a8ac7c9f1a15e51c1316cb882cd627acb4d1a173,Android 13 with HiOS 13,MediaTek Helio G85 (12nm),Octa-core (2×2.0GHz Cortex-A75 + 6×1.8GHz Cortex-A55),Mali-G52 MC2
c99b6b7062155c55de41432597f4ec3556c92f5c50065bada9c03af3a4c595d3,"Android 14, up to 2 major Android upgrades, HIOS 14",Mediatek Dimensity 8200 Ultimate (4 nm),Octa-core (1x3.1 GHz Cortex-A78 & 3x3.0 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55),Mali-G610 MC6
0bc886745b141d5179472de40aac29b65293d133bb9eb535f1f4dce41718887d,"Android 16, up to 3 major OS updates, HIOS 16",Mediatek Dimensity 7400 Ultimate (4 nm),Octa-core (4x2.6 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55),Mali-G615 MC2
1b20d46faa9ef4bb659a07e707a08d648002d41c696d0432e98d103a5cb0637c,"Android 13, HIOS 13.5",Mediatek Dimensity 8050 (6 nm),Octa-core (1x3.0 GHz Cortex-A78 & 3x2.6 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55),Mali-G77 MC9
ed6e7d04bc018a8b4a3e851a7b752041a1abe026a56790c6624f49af3651179f,Android 12 (Go edition),Unisoc SC9863A1,MediaTek Helio A22,PowerVR GE8322
be0dd621914a93027abbda47a8278bf3e7a26c1c150715d5b72c155fb506439a,"Android 13, upgradable to Android 14, HIOS 14",Mediatek Dimensity 6080 (6 nm),Octa-core (2x2.4 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2
e88be5579608e9fa0b0256b7704e28da997cbe8458449f338bd8d9013e97a6ec,"Android 13, HIOS 12.6",Mediatek MT6769H Helio G88 (12 nm),Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),Mali-G52 MC2
8154fd53709dc9f251a6290e88d49f55ae224ffc671cbddc698e155b3472c97e,"Android 12, HIOS 8.6",Unisoc T606 (12 nm),Octa-core (2x1.6 GHz Cortex-A75 & 6x1.6 GHz Cortex-A55),Mali-G57 MP1
963ef458ac59cde3de1c7e10f397c5e173b7fdcaac26c3f26e669cc4b8ec05e8,Android 14,Mediatek Helio G99 Ultimate,Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2
