record_key,os,chipset,cpu,gpu
db9277edba0a3f4bf3457f3b2935a5b1d11599fb22b578534685fc14fc6684b8,Android 15 OS,Mediatek Dimensity 6300 (6 nm),Octa-core (2 x 2.4 GHz Cortex-A76 + 6 x 2.0 GHz Cortex-A55),Mali-G57 MP2
ea0b438dacdefaa91e0868b25396132c4d629ef033a28687aa37d4787593baee,Android 15 OS,Qualcomm SM6225 Snapdragon 685 (6 nm),Octa-core (4 x 2.8 GHz Cortex-A73 + 4 x 1.9 GHz Cortex-A53),Adreno 610
47022f3936dae5f65de88a20c9c4d52d7f890496ba652450a079e4c6664088c6,Android 15 OS,Qualcomm SM6225 Snapdragon 685 (6 nm),Octa-core (4 x 2.8 GHz Cortex-A73 + 4 x 1.9 GHz Cortex-A53),Adreno 610
fb7a7ef5b35e9c06eb5d9fcb0c17c779b870995aa29efa0e409e53e9c5f76fd1,Android 15 OS,Mediatek Dimensity 9400e (4 nm),Octa-core (1 x 3.4 GHz Cortex-X4 + 3 x 2.85 GHz Cortex-X4 + 4 x 2.0 GHz Cortex-A720),Immortalis-G720 MC12
06bfc36940b09cf3390ed5d361e3b135a19761529880923232a394637bfffecf,Android 14 OS,Unisoc Tiger T612 (12 nm),Octa-core (2 x 1.8 GHz Cortex-A75 + 6 x 1.8 GHz Cortex-A55),Mali-G57
304ae24508f9f71596d2b69e716d338b7c9dfde7cd3e8176b022faec1d9ddeb4,Android 14 OS,Unisoc Tiger T612 (12 nm),Octa-core (2 x 1.8 GHz Cortex-A75 + 6 x 1.8 GHz Cortex-A55),Mali-G57
20c579d2cb42e8e0c9e4ce78444a2a84c673f1b776524bae825f1a05b6b88c2b,Android 15 OS,Unisoc T7250 (12 nm),1.8Ghz Octa Core,Mali-G57 MP1
35106d23adf2f88e8c21504c3848848383f61408431e8d01950f75480051a7d3,"Android 15 OS, up to 6 major Android upgrades",Mediatek Helio G99 (6 nm),Octa-core (2 x 2.2 GHz Cortex-A76 + 6 x 2.0 GHz Cortex-A55),Mali-G57 MC2
4a42bd60f4611f77d7c4defaa28d65cac6823395a81e89705e8f8eb51d507e32,"Android 15 OS, up to 6 major Android upgrades",Mediatek Helio G99 (6 nm),Octa-core (2 x 2.2 GHz Cortex-A76 + 6 x 2.0 GHz Cortex-A55),Mali-G57 MC2
247056d786b08a36a8d37537c33b4447accaccd40414325fcec610a38e782688,"Android 15 OS, up to 6 major Android upgrades",Mediatek Helio G99 (6 nm),Octa-core (2 x 2.2 GHz Cortex-A76 + 6 x 2.0 GHz Cortex-A55),Mali-G57 MC2
d8193e1a86d154110a833e815380f272b3796df63234e5b8423398413fc8b967,"Android 16 OS, up to 6 major Android upgrades",Qualcomm SM6475-AB Snapdragon 6 Gen 3 (4 nm),Octa-core (4 x 2.4 GHz Cortex-A78 + 4 x 1.8 GHz Cortex-A55),Adreno 710
d7285b46c06b880fc24db30508a7404d0d24e4a33d94d116b57adc179eae2d6f,"Android 16 OS, up to 6 major Android upgrades",Exynos 1480 (4 nm),Octa-core (4 x 2.75 GHz Cortex-A78 + 4 x 2.0 GHz Cortex-A55),Xclipse 530
a6789d3461b371c678709b9788ec581233f533e6e23df12deec0dc8967ba9368,Android 15 OS,Exynos 1580 (4 nm),Octa-core (1 x 2.91 GHz + 3 x 2.6 GHz & 4x1.95 GHz),Xclipse 540
aa107e0df2a31c69074f79377c87bfb8e5e3e7af494d861a68e58ed3a5c12927,"Android 16 OS, up to 6 major Android upgrades",Exynos 1680 (4 nm),Octa-core (1 x 2.9 GHz Cortex-720 + 4 x 2.6 GHz Cortex-720 + 3 x 1.95 GHz Cortex-520),Xclipse 550
5c5e7c9855b0f4627ed07ca43133322296664dfb3a1baae9e5684fd6c3cf6c05,"Android 16 OS, up to 6 major Android upgrades",Exynos 1680 (4 nm),Octa-core (1 x 2.9 GHz Cortex-720 + 4 x 2.6 GHz Cortex-720 + 3 x 1.95 GHz Cortex-520),Xclipse 550
6442be3f9b24f202069db69c38361cb47062f9778cb7cb57a1d445b84d6f7af1,Android 15 OS,MediaTek,Octa Core,
be8fa653a7c71d690d2eb77abf9cc44ea51b9b949294b49c312e385cc1571a3b,"Android 16 OS, up to 3 major Android upgrades",Mediatek Helio G200 Ultimate (6 nm),Octa-core (2 x 2.2 GHz Cortex-A76 + 6 x 2.0 GHz Cortex-A55),Mali-G57 MC2 (1.1GHz)
84957b6778275fa587013b80a287199599552ad390d554efd643c3a7c41d361a,"Android 16 OS, up to 3 major Android upgrades",Mediatek Dimensity 7400 Ultimate (4 nm),Octa-core (4 x 2.6 GHz Cortex-A78 + 4 x 2.0 GHz Cortex-A55),Mali-G615 MC2
de7bf99032fd8ab6780baaf66cb7d5d30eb77bc586be93b9ab0ae90fdd5ac2d0,"Android 16 OS, up to 3 major Android upgrades",Mediatek Helio G200 Ultimate (6 nm),Octa-core (2 x 2.2 GHz Cortex-A76 + 6 x 2.0 GHz Cortex-A55),Mali-G57 MC2 (1.1GHz)
43f19b71be2b9602c67b5f0d605c054491b8ad653921e6655e77530ca06b1223,Android 15 OS,Mediatek Helio G81 (12 nm),Octa-core (2 x 2.0 GHz Cortex-A75 + 6 x 1.8 GHz Cortex-A55),Mali-G52 MC2
c4bc3440dc9bb78daa0129e81082337d12286b3a5592226b4fa9a961b6e9444d,Android 16 OS,MediaTek Helio G81,Octa-core (2 x 2.0 GHz Cortex-A75 + 6 x 1.8 GHz Cortex-A55),Mali-G57 MC2
73eb0f4c5856bdc594a1ff8c44d34dbdb9fd5b3547bc9f067d15702911b8cd5c,Android 15 OS,Unisoc T7250 (12 nm),Octa-core (2 x 1.8 GHz Cortex-A75 + 6 x 1.6 GHz Cortex-A55),Mali-G57 MP1
5b4da1433330929f240ca32abf7f8ce7b541a5167df43173b6138267bdcada85,Android 15 OS,Unisoc T7250 (12 nm),Octa-core (2 x 1.8 GHz Cortex-A75 + 6 x 1.6 GHz Cortex-A55),Mali-G57 MP1
