record_key,card_slot,technology,types_json
addcab631ed3e59831cf9f5715dc21a770548ac97d508e6a477910b10c2b556d,microSDXC (dedicated slot),"128GB Built-in, 6GB RAM","[""128GB Built-in"",""6GB RAM""]"
db9309791f972f99eec3bf255babe2d0978915a7559bcc263d306958bf329b67,microSDXC (dedicated slot),"128GB Built-in, 4GB RAM, UFS 2.2","[""128GB Built-in"",""4GB RAM"",""UFS 2.2""]"
43210a8a173a423028ca615be0d78905a3713cd647a366bce6f857c400a8c38b,microSDXC (dedicated slot),"64GB Built-in, 4GB RAM, UFS 2.2","[""64GB Built-in"",""4GB RAM"",""UFS 2.2""]"
72ff8f62231e56134c58aa8a9fa2070af6659357a717184b08e722b7a0ec7699,microSDXC (uses shared SIM slot),"256GB Built-in, 8GB RAM","[""256GB Built-in"",""8GB RAM""]"
8b4cf6d8373e4098085482971dcea6e858fa3491146f0d450b4074e2dbcb568e,No,"512GB Built-in, 12GB RAM","[""512GB Built-in"",""12GB RAM""]"
677d31b21144f8ac9d714981c29c7e14ebe59cf5a8c4ca5c5812b4c563efbdc4,No,"512GB Built-in, 12GB RAM, UFS 2.2","[""512GB Built-in"",""12GB RAM"",""UFS 2.2""]"
a3144d1f4e3f4c6767ce0c0867ce1f0eeda51fbb0a05043cbf7895ddfb889277,No,"256GB Built-in, 8GB RAM","[""256GB Built-in"",""8GB RAM""]"
1c355bef3eab13d781ce17f2d953ac6cec07d1c1fd035cc35dd6c0a45414c99c,microSDXC (uses shared SIM slot),"128GB Built-in, 8GB RAM","[""128GB Built-in"",""8GB RAM""]"
4bc001ed25342c096f23e270f2a958c79e91d68d53497f00a55840d4caafad65,microSDXC (dedicated slot),"64GB Built-in, 4GB RAM (+8GB Extended RAM), eMMC 5.1","[""64GB Built-in"",""4GB RAM (+8GB Extended RAM)"",""eMMC 5.1""]"
dab2bac67f680a308cd3165d64883a73aaa0fc812cbbaadeb19d58304fc668b4,microSDXC (dedicated slot),"128GB Built-in, 4GB RAM (+8GB Extended RAM)","[""128GB Built-in"",""4GB RAM (+8GB Extended RAM)""]"
ec096c9896603113394f987db5de991e4c3d82289139044270a53841c8602205,microSDXC (dedicated slot),"256GB Built-in, 8GB RAM (+12GB of Extended RAM )","[""256GB Built-in"",""8GB RAM (+12GB of Extended RAM )""]"
98d358e48d36d529afe24a05c368e3ddfeffeedef323408cf02a32c38316b908,microSDXC,"256GB Built-in, 8GB RAM (12GB Extended RAM)","[""256GB Built-in"",""8GB RAM (12GB Extended RAM)""]"
9d4bd0a89b746776efebb207d930f53aaf5bcb489d178e4075336527644a5be7,microSDXC,"256GB Built-in, 8GB RAM (+12GB of Extended RAM )","[""256GB Built-in"",""8GB RAM (+12GB of Extended RAM )""]"
