record_key,type,size,resolution,protection
21811b2e750612c38ca9271511033197f685cd40d6707696fdfc6ab18f075bb1,AMOLED,"6.67""",2712 x 1220,
d60d22860e989a5af6354ae4c62bccd36274bffe2b9732c9f2c10060db675e27,AMOLED,6.59 inches,1256 x 2760 Pixels,
3283f0d48de9a0efa8520fecea45af5a490c610d8fe65c428900b89399b62591,AMOLED,6.59 inches,1256 x 2760 Pixels,
646224a9e660736fb669441f38f44928fe78919f5198c6b602095d34436ec9cf,AMOLED,6.67 Inches,"2400×1080, 1800nits(peak brightness)",Corning Gorilla Glass Victus 2
f40054e2fd16b22fb0cea6c89324f672abf22d4db00da60d5055e0a28ca5ae4c,,,,
849520b99a7bbec71a8e034e30f02e2f87724f675be0be3f73d6730d8cf04242,,,,
fa93e9c0d21771b816c104f61764cf01fb6e231d1266b4c74c89f294ae072be6,,,,
e6c4b3b3f0c96521ab1b34f78137dff83b42bd287126f18ae398d06f4450d77b,,,,
c7e068fb84fa8498cd9f900d16f7ed92f9f135b97e494d2645a6d742e30b70ad,,,,
58c7930c9b2d5a7dffbdde10fcabcdba5cf54d31d13e1e6ce0cebdd5dc1e5402,,,,
9906ba2f448f1968580f10686648fd9fa47908f3e0a02e80726071cf534d6fd3,,,,
b4b80f0a8a0477a436be4fe02508403b96d8da47b6c1f40f063bd15d1a0ae8ea,,,,
60de647de67ed5fe4df93f26f09907c56363a8ede09b0771cfaa05264cd77e84,AMOLED,"6.7""",1080 x 2400 Pixels (~395 PPI),
5b5d8ce78dcb47ab0084bae055692a7306eeac6027bbb5da9d9d8817e7c33023,AMOLED,"6.7""",1080 x 2400 Pixels (~395 PPI),
c685f6c1e8c4e7e8cebee0c752aedef64d62136c3829151d17450c29c4ee7a8d,AMOLED,"6.67""",1080 x 2400 Pixels (~395 PPI),
bbe49695b4a69f9a55358fe8b0bab60edc38db6b6cbaceddec64b1f9acd2857f,AMOLED,"6.67""",1080 x 2400 Pixels (~395 PPI),
72ca1689541e44aba78b6da58e1f426979fc19b9bbc084ccf35da4930b13b3c6,AMOLED,6.67 Inches,"2400×1080, 1800nits(peak brightness)",Corning Gorilla Glass Victus 2
f26000da08c698f4b334f4935aed3d780519cd3376a69ed8832f5bd0c79d34bd,AMOLED,6.7 Inches,"2400 x 1080, 1800 nits peak brightness",Corning Gorilla Glass 5
36edeffaeb4c52b26e737a2e260ce1a45ef8090d11086515d88f1e5e3a7bcd91,AMOLED,6.67 Inches,"2400×1080, 1800nits(peak brightness)",Corning Gorilla Glass Victus 2
8176b74a327cdb8efce19996112b5d48dae05943208803b064f30039007e13cc,AMOLED,"6.67""",2400 x 1080,
2d46d3df9d9e0ad00e500852da1aba2208dd241aa9de55174a335ce1b513d5a9,AMOLED,6.7 Inches,"2400 x 1080, 1800 nits peak brightness",Corning Gorilla Glass 5
afe87b9c2b1ddb17b16c552f126af79a793101bbccbf42f1579247612c500b08,AMOLED,6.67 Inch,1080 x 2400 Pixels (~395 PPI),
46ed46afdd6b1bc33b0c4e6b31d9a9984c2fe000a1cdcee015d592d75132ecdc,AMOLED,6.67 Inch,2400 x 1080,
c673687ee6b8609bfd53162a76c8629183e408706387159acc2345de6a45f9b4,AMOLED,6.67 Inch,2400 x 1080,
eb9e5dcab12c69b0e8ede95651df071259b065d8cc6949b65b6dacbd74a5af02,,,,
3ed94010471e6288bdbaa28e12b8dc2d57945c6c9dae2d6c3eaace1a6bbe97a9,,,,
b134450b0cadf29d9b48a6df2f09b2527431eac4b44886251b78ae7dddf795ae,,,,
6ac23e1526131b09c217df6fb96ca4fb865981d786779eb7855ccb7d0780d760,,,,
bdd8c16e135122f5af3a4c803ef17cd35561a375bf7c4d6930e7ce017ff95770,LCD,6.88,1640 x 720,Corning Gorilla Glass
617f79f841686f44cfd6320a862572efbcf17b69885c18708dd33d0454f41fa0,LCD,6.88,1640 x 720,Corning Gorilla Glass
c68abaadd0f227583275c32cc93dabe88ab6f3448fa572dd636cc8dcfab87c35,,,2392 x 1080,
78772cc4e73c75917db510a9d21d08e7b4da0fb0618494c750c9e250c2a3ea9a,,,,
d987dafd7b4a95e922b4b1ee42015ea8e17107b795993e3dd1b1d4e69c807cab,,6.8 inch,,
f0e7a6f8110466dcab6bfdbe0786a29a0003f426a7ddbfe3629265ff2259c7f5,,6.32 inch,2640 × 1216,
d64dea1f71a6437b2e3a0d2b216ea02b6b07760e39d8c323dc59181fb8af8ed5,,,2392 x 1080,
2dcde7e549de3504b2f2353f8d80d7d5509986cfed8c96011665bb5b7407989d,AMOLED,"6.83""",2772 x 1280,
dd323a227d94aec9653b183064593a9482892ceff8438388e9808d299f762926,,,,
964543dc45f596c4b413ca6410d85eeccaa82766302d0dd89cbf5177d62d6e56,,,,
88a337cc59d9a27e463e57b096676ee24f9bdd1cb08eafc7fef3050d46ea774e,,6.5 inches,null,null
e152482c68ecb397665a688665e1b4d3eacd1260db6bdb6b0b6ed89cb1501b09,,"6.9""",1920x1080,
85da65ebc43745957e8e8c606c976d64ec0b1c9aca778ba951f54bad2f65b8b0,AMOLED,6.77 inch,1080 x 2392,
66652d097d2a9976918a1c0bad5f73ef58a02a97d1aab6c45255769da6ce86b2,IPS LCD,6.9 inch,1080 x 2340,
289395745795007a78dd89b3d9d27ec009ea0828137c3e9be12044890a4639f0,AMOLED,6.77 inch,1080 x 2392,
2003af5f7fbdd8c383336b10a7de48a82d9e7faf60377526ce6580e130008695,,,,
1835913dea42e6ab0595691ea21f08ca52ac7acd57ca65135bb1e07fe6b052cb,,,,
01d12fceab028cc579485546b62c472d18df3f899b0f4e826c54abe9aee32d37,,,,
545378d93087b9b1a2eae9618bdbcc002c3f94d3fee782f991e0ad63802fada5,,,,
0ca050987d055eaf57eff6e54ae1e97a9bc4774e739688753124529fcf0d634f,,6.56 Inches,720 × 1612 pixels,N/A
f7a49dd2b99eb88a78c5d217bc49730e16c7f788ef6f2d211e087ffea3d02f91,,6.5 inches,null,null
9bd3b9b05782755af4f25d86e25a56ac3259971834876b31fb05fbab67d331b5,,6.56 Inches,720 × 1612 pixels,N/A
5a6eff58e7be0fef8ccd13bc15771a19034b49f11d4762485339b54145f4f0f6,AMOLED,6.59 inch,1256 x 2760 Pixels (460 PPI),
b7aee1bb08ad29a35b6243ce23c89abe81ff801607197dd9280168a2422e3bb7,AMOLED,,1280 × 2800 pixels,
c41c8db10c6203c7a7836e89b50556cc8c0fb3e06ed98ea932b7f5bbf034a8f3,,,,
d7b47c6106241e3ed9d3f3e8b380e194b67ad2666a490d047ab74470cab1f3e6,,,,
332f24c40325c5910ace3c84e49dbe04358de93b7751860e28c2b8494591747a,,,,
b3548f24d640069ba11ec02cb5c2f819fac1931c61bb1d04199182f7a5e17361,,,,
4c56909c044af027f7c6309db0a639503c371c5616eae64df3742de0605d7577,,,,
334ebfca941e00609409b805a8c914d0afd363ed2b8b9bca58035631ed5c5fa9,,,,
4f07570a9da1a67a5eac45bab987ddd3454931eebfec3203f749fa7d54c6048f,LCD,6.8 Inch,1280 x 2800 Pixels (~453 PPI),
f844df690290555a33ef03289bc54881784dd047b93783f075c8526a9280055d,,6.8 Inch,,
db169f3f033fa74d0e549b76cea72e467ba2fbe192c3d1508d3a3aac36c4a43c,AMOLED,6.59 inch,1256 x 2760 Pixels (460 PPI),
f19dc83bab58c164ec2a0d542ad9e589f7868352aab88aa6ca58ca54b4d20cde,AMOLED,6.77 Inch,2392 × 1080,
bc4ef0f1a76f89098ae4198579742bdb36c9d664452acecda317cc619a272f5a,AMOLED,6.77 Inch,2392 x 1080,
7650601ddddc200915565a48bde091f46a02c7e0e98a436c76b70d6ac5cb1df5,IPS LCD,"6.9""",1080 x 2340 Pixels (~374 PPI),
5b92cb48748bbc324f7770cc7658e82d6a6b4ccd31070ed799e9b698478a656b,,6.9 Inch,2340 × 1080,
75a947a2e60eea8c03786c33d7e8ec6a45fbb0487bb633e380fd1747cb7d2fc9,LCD,6.9 Inch,1080 x 2340 Pixels (~374 PPI),
